"","id","uri","title","artist","duration_ms","explicit","track_number","release_date","popularity","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","mode","tempo","lyrics","sentiments"
"1","1QixTwDZCcfBzA7QMyont0","spotify:track:1QixTwDZCcfBzA7QMyont0","Halo","Soil",195653,"False",2,"2011-10-07",57,0.529,0.92,3,-4.168,0.0649,2.87e-05,0.00202,0.0582,0.438,1,111.132,"Halo Lyrics[Verse 1]
Oh!
I'm the man, I'm the king, I'm the one that's pure inside
Everyday, every way, I smell of suicide
Bitter sins, how they grow within, so you tell me it ain't right
I am all sin and you're my reason for life

[Chorus]
I will stone you, stone you, wrap my arms around you
I will stone you, stone you, my little halo
I will stone you, stone you, wrap my arms around you
I will stone you, stone you, my little halo
[Verse 2]
I'm the man, I'm the king, I'm the one who's broken from giving
Everyday, every way, I swear just one last try
Killin' me with the death to be, something that's so right
I am all sin, my hands are scarred with time

[Chorus]
I will stone you, stone you, wrap my arms around you
I will stone you, stone you, my little halo
I will stone you, stone you, wrap my arms around you
I will stone you, stone you, my little halo

[Post-Chorus]
Stop, look at me!
Look through my eyes

[Bridge]
I'm the man with the rock in his hand
Got the rock in my hand, gonna stone you, stone you
I'm the man with the rock in his hand
Got the rock in my hand, gonna stone you, stone you
I'm the man with the rock in his hand
Got the rock in my hand, gonna stone you, stone you
I'm the man with the rock in his hand
Got the rock in my hand, gonna stone you
You might also like[Verse 3]
Make a change, gotta rearrange, idle minds crushing time
I am all sin and you're my reason for life

[Chorus]
I will stone you, stone you, wrap my arms around you
I will stone you, stone you, my little halo
I will stone you, stone you, wrap my arms around you
I will stone you, stone you, my little halo

[Chorus/Outro]
I will stone you, stone you, put my goddamn arms around you
I will stone you, stone you, my little halo
I will stone you, stone you, put my arms around you
I will stone you, stone you, my little haloEmbed","angry"
"2","27ce3PuoDdndLsktG0RvfV","spotify:track:27ce3PuoDdndLsktG0RvfV","Blood","In This Moment",207746,"True",12,"2015-05-05",49,0.533,0.958,9,-2.735,0.158,0.0153,0,0.4,0.505,0,140.055,"Blood Lyrics[Verse 1]
I hate you for the sacrifices you made for me
I hate you for every time you ever bled for me
I hate you for the way you smile when you look at me
I hate you for never taking control of me

I hate you for always saving me from myself
I hate you for always choosing me and not someone else
I hate you for always pulling me back from the edge
I hate you for every kind word you ever said
[Pre-Chrous]
I'll bleed you dry now

[Chorus]
Blood, blood, blood
Pump mud through my veins
Shut your dirty, dirty mouth
I'm not that easy
Blood, blood, blood
Pump mud through my veins
I'm a dirty, dirty girl
I want it filthy

Blood, blood, blood
Pump mud through my veins
Shut your dirty, dirty mouth
I'm not that easy
Blood, blood, blood
Pump mud through my veins
I'm a dirty, dirty girl
I want it filthy

[Verse 2]
I love you for everything you ever took from me
I love the way you dominate and you violate me
I love you for every time you gave up on me
I love you for the way you look when you lie to me
You might also likeI love you for never believing in what I say
I love you for never once giving me my way
I love you for never delivering me from pain
I love you for always driving me insane

[Pre-Chrous]
I'll bleed you dry now

[Chorus]
Blood, blood, blood
Pump mud through my veins
Shut your dirty, dirty mouth
I'm not that easy
Blood, blood, blood
Pump mud through my veins
I'm a dirty, dirty girl
I want it filthy

Blood, blood, blood
Pump mud through my veins
Shut your dirty, dirty mouth
I'm not that easy
Blood, blood, blood
Pump mud through my veins
I'm a dirty, dirty girl
I want it filthy
[Instrumental]

[Bridge]
I love you, I hate you, I hate you, I love...

[Chorus]
Blood, blood, blood
Pump mud through my veins
Shut your dirty, dirty mouth
I'm not that easy
Blood, blood, blood
Pump mud through my veins
I'm a dirty, dirty girl
I want it filthy

Blood, blood, blood
Pump mud through my veins
Shut your dirty, dirty mouth
I'm not that easy
Blood, blood, blood
Pump mud through my veins
I'm a dirty, dirty girl
I want it filthy

[Outro]
I hate you for every time you ever bled for me...10Embed","sad"
"3","4O4F5wJ8xYY5SDyuFHvOy8","spotify:track:4O4F5wJ8xYY5SDyuFHvOy8","All This Time","Skindred",182825,"False",8,"2018-04-27",0,0.472,0.906,5,-2.177,0.0647,6.86e-05,3.25e-05,0.784,0.623,1,139.993,"All This Time Lyrics[Part 1]
Inside my soul I've got this burning deep desire
Wanna set the world alight, inside I've got this fire
The more I look and see the more I'm getting blinder
Been trying to fool myself by walking on the wire

And now I know why

[Chorus]
All this time I've been running around in circles
All this time, it's been going around my head
Can't blame it on the last time, no
Still living in the past, I know
You got the best of me, you won't get the rest of me
All this time, it's been going around my head
[Part 2]
Can't wait to reach but I know time it is the master
Wishing your life away, recipe for disaster
The more I look and see, the more I'm getting blinder
Been trying to fool myself by walking on the wire

And now I know why

[Chorus]
All this time I've been running around in circles
All this time, it's been going around my head
Can't blame it on the last time, no
Still living in the past, I know
You got the best of me, you won't get the rest of me
All this time, it's been going around my head

And now I know why

[Chorus]
All this time I've been running around in circles
All this time, it's been going around my head
Can't blame it on the last time, no
Still living in the past, I know
You got the best of me, you won't get the rest of me
All this time, it's been going around my headYou might also likeEmbed","angry"
"4","6AKWOVOJ81OQfsgxZbJ6QN","spotify:track:6AKWOVOJ81OQfsgxZbJ6QN","Wash It All Away","Five Finger Death Punch",224906,"True",3,"2015-09-04",0,0.485,0.987,4,-3.1,0.0738,2.08e-05,0,0.267,0.272,1,123.576,"Wash It All Away Lyrics[Verse 1]
I've given up on society
Up on my family
Up on your social disease
I've given up on the industry
Up on democracy
Done with all your hypocrisy

[Pre-Chorus]
All of the chaos
And all of the lies
I hate it
[Chorus]
I'm wasting here, can anyone
Wash it all away?
I'm waiting here for anyone
To wash it all away

Wash it all away

[Verse 2]
I've given up on the media
Feeds my hysteria
Sick of living down on my knees
I've given up on morality
Feeds my brutality
Fuck what you think about me

[Pre-Chorus]
All of the chaos
And all of the lies
I hate it

[Chorus]
I'm wasting here, can anyone
Wash it all away?
I'm waiting here for anyone
To wash it all away
You might also likeWash it all away

[Bridge]
I won't change for you
And I can't take the pain
There's nothing you can do
And there's nothing you can say

[Solo]

[Pre-Chorus]
I've given up on everything
Up on everything
Up on everything

[Chorus]
I'm wasting here, can anyone
Wash it all away?
I'm waiting here for anyone
To wash it all away

Wash it all away

I'm wasting here with everyone
Just wash it all away
I'm waiting here for anyone
To wash it all away
Wash it all away

[Outro]
Wash it all away1Embed","angry"
"5","5W8YXBz9MTIDyrpYaCg2Ky","spotify:track:5W8YXBz9MTIDyrpYaCg2Ky","Last Resort","Papa Roach",199906,"True",2,"2001-04-25",81,0.589,0.89,4,-3.719,0.0603,0.000481,0.00082,0.201,0.692,0,90.598,"Last Resort Lyrics[Intro]
Cut my life into pieces, this is my last resort
Suffocation, no breathing
Don't give a fuck, if I cut my arm bleeding
This is my last resort

[Verse 1]
Cut my life into pieces
I've reached my last resort – suffocation, no breathing
Don't give a fuck, if I cut my arms bleeding
Do you even care, if I die bleeding?
Would it be wrong, would it be right
If I took my life tonight? Chances are that I might
Mutilation out of sight
And I'm contemplatin' suicide
[Chorus]
'Cause I'm losin' my sight, losin' my mind
Wish somebody would tell me I'm fine
Losin' my sight, losin' my mind
Wish somebody would tell me I'm fine

[Verse 2]
I never realized I was spread too thin
'Til it was too late and I was empty within
Hungry, feeding on chaos and livin' in sin
Downward spiral, where do I begin?
It all started when I lost my mother
No love for myself and no love for another
Searchin' to find a love upon a higher level
Findin' nothin' but questions and devils

[Chorus]
'Cause I'm losin' my sight, losin' my mind
Wish somebody would tell me I'm fine
Losin' my sight, losin' my mind
Wish somebody would tell me I'm fine

[Bridge]
Nothing's alright, nothing is fine
I'm runnin' and I'm crying
I'm crying, I'm crying
I'm crying, I'm crying
I can't go on living this way
You might also like[Verse 3]
Cut my life into pieces
This is my last resort
Suffocation, no breathing
Don't give a fuck if I cut my arm bleeding
Would it be wrong, would it be right
If I took my life tonight? Chances are that I might
Mutilation out of sight
And I'm contemplating suicide

[Chorus]
'Cause I'm losin' my sight, losin' my mind
Wish somebody would tell me I'm fine
Losin' my sight, losin' my mind
Wish somebody would tell me I'm fine

[Outro]
Nothing's alright, nothing is fine
I'm runnin' and I'm crying
I can't go on living this way
Can't go on living this way
Nothing's alright40Embed","sad"
"6","0BJGEJ3dhyytMfqZs4qc43","spotify:track:0BJGEJ3dhyytMfqZs4qc43","Misanthropical","Motograter",221918,"False",6,"2017-08-11",0,0.587,0.936,7,-3.735,0.0723,0.000396,0.000551,0.127,0.422,1,110.038,"Misanthropical Lyrics[Verse 1]
There's a place in the shadows
Deep inside me where hatred grows
And if you would just let go
I would show you what lies below

I'll never be like them
They'll always call us strange
Their hypocritic ways
Are driving me insane
I'd rather end it all
Than have to live this way
Just let me be myself
Or stay out of my way

[Pre-Chorus 1]
Stay out of my way

[Bridge 1]
Shaking with anger
There's no forgiveness
It's never-ending
I'm so fucking sick of this

[Verse 2]
Say goodbye to the judgment
And just let go of all you know
You belong on the outside
They will hate what they can't control

They think they're so perfect
Looking down on the strange
Sitting upon their thrones
I'll take it all away

I felt a hate again
Erupting out of me
I want to make them pay
And feel my agony
You might also like[Pre-Chorus 2]
Feel my agony

[Bridge 2]
Filling with hatred
Straight out of the abyss
There will be bloodshed
I'm so fucking sick of this

[Chorus]
Misanthropical (I'm so fucking sick of this)

Misanthropical (I'm so fucking sick of this)

[Main Bridge]
I think I'm going insane [x7]

I'm so fucking sick of this

[Chorus]
Misanthropical (I'm so fucking sick of this)

Misanthropical (I'm so fucking sick of this)

Misanthropical (I'm so fucking sick of this)
[Outro]
Misanthropical

MisanthropicalEmbed","sad"
"7","6HQfFAupOMsmfWV4CbG1Kj","spotify:track:6HQfFAupOMsmfWV4CbG1Kj","The Shooting Star","Gojira",342346,"False",1,"2016-06-17",52,0.497,0.844,2,-5.055,0.0346,0.00158,0.0854,0.155,0.32,0,126.137,"The Shooting Star Lyrics[Verse 1]
On the first light of the day, you march on
Departure has arrived, don't look back
Avoid the darkness, stay away, stay out of sight
Until you feel the blast of a shooting star

[Verse 2]
Following the spark like a rocket in the sky
Between the bear and the scorpion, getting close
Headed north, frozen land where tigers go to die
Don't fear the cold, it'll numb your memories out
[Interlude]
You are higher in the sky

[Verse 3]
Learn the skill to stay alive, survival
The city is so mean, you're being watched
Reach the tunnel, light the torch, you're on the hunt
Until the light calls you back into the wild

[Verse 4]
When you get to the other side, please, send a sign
It'll fly through the atmosphere in time
And if you hold the truth within your hands
You won't be sent back, through the rain, reborn

[Chorus]
Everlasting love is ever-growing
Hang on to what you have and let it grow
Everlasting love is ever-dying
It's in the past, you have to let it goYou might also like6Embed","angry"
"8","3MMQLTLHbyHL9xc1MEYJhy","spotify:track:3MMQLTLHbyHL9xc1MEYJhy","Bullet With A Name","Various Artists",208653,"False",6,"2012-12-04",0,0.571,0.875,10,-3.57,0.111,0.000263,0.000444,0.161,0.735,0,90.978,"June 2018 Album Release Calendar Lyrics6/1
Albin Lee Meldau - About You - 13/13
American Aquarium - Things Change - 10/10
Ben Howard - Noonday Dream - 10/10
Big Freedia - 3rd Ward Bounce - 5/5
Black Thought & 9th Wonder - Streams of Thought, Vol. 1 - EP - 5/5
Convictions - Hope for the Broken  - 13/13
CZARFACE & MF DOOM - Man's Worst Enemy - EP - 4/4
Da Baby - Baby Talk 5 - 3/10
Dizzy Wright - Don't Tell Me It Can't Be Done - 7/7
Esther Vallee - Things We Never Talk About - EP - 6/6
Father John Misty - God's Favorite Customer - 10/10
Finding Faith - Finding Faith - 12/12
Freedom Fry - Classic - 2/11
Gabriella Cohen - Pink is the Colour of Unconditional Love - 11/11
Gatherers - We Are Alive Beyond Repair - 11/11
Ghost - Prequelle - 12/12
Groundbreaking - 0 - EP - 7/7
Jamie Isaac - (04:30) Idler - 11/11
Joan of Arc - 1984 - 9/9
Joe Moses - SuWop EP - 2/7
Kanye West - ye - 7/7
Karen Jonas - Butter - 10/10
Kataklysm - Meditations - 10/10
King Iso - DeMenTia - 20/20
Kitten - Pink Champagne - 4/4
Kyle Park - Don't Forget Where You Come From - 10/10
Luke Combs - This One's For You Too - 17/17
LUMP - LUMP - 7/7
Maps & Atlases - Lightlessness Is Nothing New - 2/10
Mazzy Star - Still - 3/4
Michael Ray - Amos - 11/11
Modern Maps - Hope You're Happy. - 11/11
Morcheeba - Blaze Away - 10/10
Natalie Prass - The Future and the Past - 12/12
NateWantsToBattle - Paid in Exposure - 10/10
Neko Case - Hell-On - 12/12
Nicole Millar - Excuse Me (Deluxe) - 15/15
Oneohtrix Point Never - Age Of - 13/13
Owl City - Cinematic - 18/18
Payroll Giovanni - 4-1P - 1/12
Pete Yorn & Scarlett Johansson - Apart - EP - 5/5
Phil Cook - People Are My Drug - 6/9
Queen Key - Eat My Pussy - EP - 7/7
Richard Edwards - Verdugo - 10/10
Sam Lakmann - LUX - 9/9
Sami Baha - Free for All - 1/13
Ski Mask the Slump God - Get Dough Presents Ski Mask the Slump God - EP - 4/4
Sutton Foster - Take Me to the World - 13/14
Tami Neilson - SASSAFRASS! - 11/11
Tancred - Nightstand - 11/11
The Mulligan Brothers - Song for the Living and Otherwise - 11/11
The Saxophones - Song of the Saxophones - 10/10
Thompson Square - Masterpiece - 11/11
Thouxanbanfauni - The Lost Files - 24/24
Vicktor Taiwò - Joy Comes in Spirit - 1/14
Whitechapel - This Is Exile (Reissue) - 11/11
Yung Mal & Lil Quill - Souf6 - 6/9
6/2
Trilla Kid - FROM THE OUTSIDE - 5/5
6/3
furino - to the one i’m always dreaming of - 6/6
6/4
Ramirez - Blood Diamonds 2 - 3/10
WANNA ONE - 1÷x=1 (UNDIVIDED) - 5/5
YungManny - Black Tuesday - 3/6
6/5
fromis_9 - To. Day - 6/6
Ghost Bag - Ghost Bag & Tine Fetz - 2/11
Lildaddex - Drowning In Mud - 5/12
MRSHLL - breathe - 6/6
YUBIN - 都市女子 (City Woman) - 2/2
6/6
Benny - Dangerous - 2/10
blackwinterwells - Sinking - 0/5
Femdot - Delacreme 2 - 13/13
Fetty Wap - Bruce Wayne - 11/11
MAN WITH A MISSION - Chasing the Horizon - 17/18
6/7
A.C.E. (K-Pop) - A.C.E Adventures in Wonderland - 9/9
Andrew Luce - Lanterns - EP - 5/5
ONF - You Complete Me - 6/6
Ron-Ron The Producer - Ron-Ron & Friends - 7/8
Tyler Wood - Who I Am - 1/7
6/8
Andy Brown - Cedarmont - 5/12
Angel - Woman - 14/14
Bali Baby & Rockstar Marqo - Sosa & Tony: The Movie - 4/4
Boy Azooga - 1, 2, Kung Fu! - 11/11
Busdriver - electricity is on our side - 22/23
Cami - Rosa - 13/13
Cheat Codes - Level 1 - EP - 6/6
Claptone - Fantast - 13/13
Colin Stetson - Hereditary (Original Motion Picture Soundtrack) - 23/23
Craig Campbell - See You Try EP - 7/7
Crawford & Power - Play a Hank Jr. Song - EP - 4/4
Dance Gavin Dance - Artificial Selection - 14/14
Dave Matthews Band - Come Tomorrow - 14/14
Dierks Bentley - The Mountain - 13/13
Fat Nick - Generation Numb - 11/11
Flasher - Constant Image - 10/10
gobbinjr - ocala wick - 11/11
Gruff Rhys - Babelsberg - 10/10
Hilary Woods - Colt - 8/8
Jesse Dayton - The Outsider - 10/10
Jesse Jo Stark - Dandelion - EP - 5/5
Jonathan Bree - Sleepwalking - 11/11
Jorja Smith - Lost & Found - 12/12
Justin Abisror - Swag Money 2 - 9/9
Kadhja Bonet - Childqueen - 10/10
KIDS SEE GHOSTS - KIDS SEE GHOSTS - 7/7
Lily Allen - No Shame - 14/14
Lykke Li - so sad so sexy - 10/10
Matt Maltese - Bad Contestant - 11/11
Meyhem Lauren & DJ Muggs - Frozen Angels - 3/8
Mozzy & Kae One - Run It Up Activities - 0/8
Ne-Yo - GOOD MAN (Deluxe) - 20/20
Newkid - SS18 - EP - 6/6
Perfume Genius - Reshaped - EP - 2/6
Pllush - Stranger to the Pain - 7/12
River Whyless - Kindness, A Rebel - 11/11
serpentwithfeet - soil - 11/11
Shannon Shaw - Shannon In Nashville - 13/13
Sheppard - Watching the Sky - 14/14
Snail Mail - Lush - 10/10
Steven Malcolm - The Second City: Part 2 - 5/5
Sugarland - Bigger - 11/11
Sun Valley Gun Club - The Water, The Stars - 8/8
The Get Up Kids - Kicker - 4/4
Tremonti - A Dying Machine - 14/14
UnoTheActivist - Limbus, Pt. 1 - 3/3
Various Artists - SUPERFLY (Original Motion Picture Soundtrack) - 13/13
Virginia Wing - Ecstatic Arrow - 10/10
Wifisfuneral - Ethernet Vol. 1 - 12/12
Zeal & Ardor - Stranger Fruit - 16/16
6/11
Lil Boii Kantu - 514 - 11/18
SHINee - The Story of Light EP. 2 - 5/5
Xfruge - Imma Keep It Mellow Till the Grave - 5/5
6/12
K. Forest - Forest Fire II - 13/13
MAJ - IJUSTDONTGIVEAFUCKANYMORE - 3/3
The Other Favorites - Naysayer - 12/12
6/13
Kevmo - Lost Soul Boulevard EP - 8/8
KIRINJI - Aiwo Arudake, Subete - 9/9
MOMOLAND - BBoom BBoom - 4/4
6/15
5 Seconds of Summer - Youngblood (Deluxe) - 19/19
Allan Kingdom - Peanut Butter Prince - 6/6
Apollo Brown & Locksmith - No Question - 7/8
Betty Who - Betty, Pt. 1 - EP - 5/5
BLACKPINK - SQUARE UP - 4/4
Buddy Guy - The Blues Is Alive and Well - 15/15
Calpurnia - Scout - EP - 6/6
Chevy Woods - ""81"" - 4/15
Chris McClarney - Breakthrough - 10/10
Chris Travis - Water World - 12/15
Christina Aguilera - Liberation - 15/15
Chromeo - Head Over Heels - 12/12
Chuck Auerbach - Remember Me - 9/9
Cosmo's Midnight - What Comes Next - 12/12
Culture Abuse - Bay Dream - 10/10
Dead Girls Academy - Alchemy - 11/11
Derez De'Shon - Pain (Deluxe Edition) - 20/20
DNCE - People to People - 4/4
Dusk - Dusk - 10/10
Elephante - Glass Mansion - 9/9
Elias - Entwined - 11/12
Fantastic Negrito - Please Don't Be Dead - 11/11
Jacquees - 4275 - 18/18
Jasmine Murray - Fearless - 10/10
Jay Rock - Redemption - 13/13
Johnny Marr - Call the Comet - 12/12
Josh A & Jake Hill - Better Off Dead II - 7/7
Kevin Krauter - Toss Up - 9/9
Loote - single. - 7/7
Matty (of BADBADNOTGOOD) - Déjàvu - 9/9
Mayday Parade - Sunnyland - 13/13
Mélissa Vales - The Things I Should've Said To You - 6/6
Melody's Echo Chamber - Bon Voyage - 7/7
Mike Shinoda - Post Traumatic - 16/16
Nas - Nasir - 7/7
Noah Jones -  Heart of a Lion Blood of a King  - 9/13
No Mana - Assorted Repetitions - 6/6
nobigdyl. - SOLAR  - 12/12
Petal - Magic Gone - 10/10
PHresher - PH - 9/16
Protomartyr - Consolation EP - 4/4
Rebelution - Free Rein - 12/12
Rico Nasty - Nasty - 14/14
Rolling Blackouts Coastal Fever - Hope Downs - 10/10
Ruel - Ready - EP - 5/6
Sigrid - Raw - EP - 4/4
SOPHIE - Oil of Every Pearl’s Un-Insides - 9/9
State Champs - Living Proof - 12/12
Steve Moakler - Born Ready - 12/12
Stuart A. Staples - Arrhythmia - 4/4
Swaghollywood - Welcome To SwooVille - 1/13
The Brothers Comatose - Ink, Dust & Luck - 0/10
Various Artists - SUPERFLY (Original Motion Picture Soundtrack) [Deluxe] - 23/23
Various Artists - Uncle Drew (Original Motion Picture Soundtrack) - 15/16
Welles - Red Trees and White Trashes - 13/13
Yuno - Moodie - 6/6
6/16
IamSu! - 06 Solara - 12/12
Josh A - Retroland II - 11/11
Sybyr - CYBERSOLDIERMAC - 13/13
THE CARTERS - EVERYTHING IS LOVE - 9/9
6/17
KILL.ZERO & Juice WRLD - KILL's WRLD - 3/3
6/18
BTOB - This Is Us - 7/7
CalBoy - CalBoy the Wildboy - 3/10
Drelli - HEY DRELLI - 2/4
TAEYEON - Something New - 6/6
Xfruge - Grooves Album - 26/26
6/19
Juice WRLD - Too Soon.. - 2/2
Joseph Chilliams - The Plastics - EP - 4/4
Kim Dong Han - D-Day - 5/5
6/20
A Boogie Wit Da Hoodie - International Artist - 8/8
Bump J - I Don't Feel Rehabilitated - 1/9
GOT7 - THE New Era - 1/8
Shabazz PBG - Life of a Pakk Boy - 2/10
6/21
Cam Johnson - Camouflage - 4/12
Jeanne Hill - Honeysuckle Lightning - 3/3
MB3FIVE - Don't Blink - 3/5
Wind Walkers - The Lost Boys - 3/12
6/22
Amarionette - AMVRI - 1/6
Ashe - The Rabbit Hole - 7/7
Bebe Rexha - Expectations - 16/16
Ben Rector - Magic - 13/13
Billy Raffoul - 1975 - 6/6
Canibus - Full Spectrum Dominance - 8/8
Dan + Shay - Dan + Shay - 11/11
Dawes - Passwords - 10/10
Death Grips - Year of the Snitch - 13/13
Demun Jones & Upchurch - The Oven - 11/11
Freddie Gibbs - FREDDIE - 10/10
Freeway - Think Free - 6/13
FERNANDOCOSTA - Yipiyou - 15/15
Gang Gang Dance - Kazuashita - 9/10
Garbage - Version 2.0 (20th Anniversary Edition) - 22/22
Gunplay - Active - 2/12
Headie One - The One Two - 9/15
Here Be Lions - Only a Holy God (Live) - 12/12
HolyU - Overdog - EP - 3/3
IAMDDB - Flightmode, Vol. 4 - 7/8
Impending Doom - The Sin and Doom: Vol. II - 3/10
Jack River - Sugar Mountain - 13/13
Jedi Mind Tricks - The Bridge and the Abyss - 17/19
Jeffrey Foucault - Blood Brothers - 10/10
Kamasi Washington - Heaven and Earth - 20/21
Lecrae & Zaytoven - Let The Trap Zay Amen - 13/13
Marshmello - Joytime II - 9/9
Michael Christmas - Role Model - 14/15
MorMor - Heaven's Only Wishful - EPl - 5/5
Nine Inch Nails - Bad Witch - 6/6
Panic! At the Disco - Pray For the Wicked - 11/11
Scotty ATL - It's TIME! - 3/13
Splurge - GlockEeeee - 3/7
Teyana Taylor - Keep That Same Energy - 8/8
The Record Company - All of This Life - 10/10
This Wild Life - Petaluma - 10/10
Tiger Army - Dark Paradise - 3/3
TK Kravitz - 2.0 - 12/12
United Pursuit - Garden - 9/9
Vacationer - Mindset - 12/12
Vancouver Sleep Clinic - Therapy Phase 02 - EP - 5/5
Westside Gunn - Supreme Blientele - 17/17
Yellow Claw - New Blood - 14/14
6/23
Lil Darkie - KILL YOURSELF - 0/10
6/24
Joey Vantes - The Vantes Project 3 - 10/10
6/25
NU'EST W - WHO, YOU - 6/6
Popcaan - Forever - 3/3
SHINee - The Story of Light EP. 3 - 5/5
6/26
03 Greedo - God Level - 18/27
Chills - I Hope You're Doing Well. - EP - 4/4
DAY6 - Shoot Me: Youth Part 1  - 6/6
Lee Jin Ah - Full Course - 9/13
MOMOLAND - Fun To The World - 5/5
Ravi (VIXX) - K1TCHEN - 6/6
6/27
Trae tha Truth - 48 Hours Later - 2/9
WEDNESDAY CAMPANELLA - Galapagos - 8/8
Xanman - WYA HALMES? - 1/12
Yung Bans - Yung Bans Vol. 5 - 9/9
宇多田ヒカル Utada Hikaru - 初恋 (HATSUKOI) - 12/12
6/28
ELRIS - Summer Dream - 5/5
6/29
Bullet for My Valentine - Gravity - 13/13
Casanova - Commissary - 8/9
Cash Click Boog - Indictment Music - 6/13
Cepeda - Principios - 10/10
Cody Canada & The Departed - 3 - 1/14
Converge - Beautiful Rain - 4/4
Cold Hart - Wish Me Well - 6/6
Dear Youth - You Could Wish Me The Best - 3/5
Drake - Scorpion - 25/25
Dwellings - Lavender Town - 10/10
Enol - 1998 - 4/9
Florence + The Machine - High As Hope - 10/10
Ghost Town - In The Flesh - 3/5
Gorillaz - The Now Now - 11/11
Hana Vu - How Many Times Have You Driven By - 10/10
Hillsong Young & Free - III - 17/17
Homesafe - One - 13/13
Jim James - Uniform Distortion - 11/11
Kina Grannis - In The Waiting - 10/10
K-Trap - The Re-Up - 9/11
Kota Banks - PRIZE - 10/10
Let's Eat Grandma - I'm All Ears - 11/11
Pendulum - The Reworks - 13/13
Protoje - A Matter of Time - 10/10
Riley Green - In A Truck Right Now - EP - 4/4
Ryan Montgomery - Ryan Montgomery- EP - 6/6
Sean Paul - Mad Love: The Prequel - 9/9
The Interrupters - Fight the Good Fight - 12/12
The Milk Carton Kids - All the Things That I Did and All the Things That I Didn't Do - 12/12
The Night Flight Orchestra - Sometimes The World Ain't Enough - 12/14
The Rubens - LO LA RU - 12/12
Tre Capital - Hero - 5/10
YONAS - About Time - 11/14
YoungBoy Never Broke Again - Until Death Call My Name Reloaded - 20/20
6/30
Mila J - June 2018 - EP - 5/53Embed","sad"
"9","79M3Eq1q61lkeQJ1OCVEdZ","spotify:track:79M3Eq1q61lkeQJ1OCVEdZ","The Devil's Bleeding Crown","Volbeat",238653,"False",1,"2016-06-03",64,0.32,0.909,7,-4.612,0.0412,1.62e-05,0.139,0.0443,0.21,1,109.649,"The Devil’s Bleeding Crown Lyrics[Verse 1]
Falling from the sky, they're cast out from the heaven's light
Drenching the soil with blood, baptized in the fire hole

[Chorus]
The Devil's spawn no longer breathes
Descending angels and fallen kings
Raise your hands, what do you hold?
The Devil's bleeding crown

[Verse 2]
Call upon it's Father, bless the goat, the womanizer
Take him to Astaroth, Inanna's temple of Uruk
[Chorus]
The Devil's spawn no longer breathes
Descending angels and fallen kings
Raise your hands, what do you hold?
The Devil's bleeding crown

[Guitar Solo]

[Verse 3]
They gathered all the children outside the church
And never would they know what went on in there
Close the door and hear all the angels scream
""Oh mercy, mercy, mercy, oh mercy, please""
Down, down, down
Down below you can hear his hoof digging through the ground
Oh Lord, Lord, Lord
The horned one is back and he wants his crown

[Chorus]
The Devil's spawn no longer breathes
Descending angels and fallen kings
Raise your hands, what do you hold?
The Devil's bleeding crownYou might also like5Embed","angry"
